=== Symbol Debug Test ===
Enter Rust code (Ctrl+D to finish):
Father relationships set successfully.
Self and Self semantic checking completed successfully.
Namespace semantic checking completed successfully.

=== Symbol Debug Output ===
Node: Function(power_mod)  | Type: FunctionNode              | Symbol: Symbol{name='power_mod', kind=FUNCTION, scopeLevel=0}
Node: power_mod            | Type: IdentifierNode            | Symbol: Symbol{name='power_mod', kind=FUNCTION, scopeLevel=0}
Node: base                 | Type: IdentifierNode            | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: exp                  | Type: IdentifierNode            | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: modulus              | Type: IdentifierNode            | Symbol: Symbol{name='modulus', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: result               | Type: IdentifierNode            | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(base)    | Type: PathExprSegNode           | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: base                 | Type: IdentifierNode            | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(base)    | Type: PathExprSegNode           | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: base                 | Type: IdentifierNode            | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='modulus', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(modulus) | Type: PathExprSegNode           | Symbol: Symbol{name='modulus', kind=PARAMETER, scopeLevel=1}
Node: modulus              | Type: IdentifierNode            | Symbol: Symbol{name='modulus', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(exp)     | Type: PathExprSegNode           | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: exp                  | Type: IdentifierNode            | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(result)  | Type: PathExprSegNode           | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: result               | Type: IdentifierNode            | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(result)  | Type: PathExprSegNode           | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: result               | Type: IdentifierNode            | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(base)    | Type: PathExprSegNode           | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: base                 | Type: IdentifierNode            | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='modulus', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(modulus) | Type: PathExprSegNode           | Symbol: Symbol{name='modulus', kind=PARAMETER, scopeLevel=1}
Node: modulus              | Type: IdentifierNode            | Symbol: Symbol{name='modulus', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(exp)     | Type: PathExprSegNode           | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: exp                  | Type: IdentifierNode            | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(exp)     | Type: PathExprSegNode           | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: exp                  | Type: IdentifierNode            | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(base)    | Type: PathExprSegNode           | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: base                 | Type: IdentifierNode            | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(base)    | Type: PathExprSegNode           | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: base                 | Type: IdentifierNode            | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(base)    | Type: PathExprSegNode           | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: base                 | Type: IdentifierNode            | Symbol: Symbol{name='base', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='modulus', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(modulus) | Type: PathExprSegNode           | Symbol: Symbol{name='modulus', kind=PARAMETER, scopeLevel=1}
Node: modulus              | Type: IdentifierNode            | Symbol: Symbol{name='modulus', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(exp)     | Type: PathExprSegNode           | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: exp                  | Type: IdentifierNode            | Symbol: Symbol{name='exp', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(result)  | Type: PathExprSegNode           | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: result               | Type: IdentifierNode            | Symbol: Symbol{name='result', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: Function(witness_check_recursive) | Type: FunctionNode              | Symbol: Symbol{name='witness_check_recursive', kind=FUNCTION, scopeLevel=0}
Node: witness_check_recursive | Type: IdentifierNode            | Symbol: Symbol{name='witness_check_recursive', kind=FUNCTION, scopeLevel=0}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: d                    | Type: IdentifierNode            | Symbol: Symbol{name='d', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: round                | Type: IdentifierNode            | Symbol: Symbol{name='round', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='round', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(round)   | Type: PathExprSegNode           | Symbol: Symbol{name='round', kind=PARAMETER, scopeLevel=1}
Node: round                | Type: IdentifierNode            | Symbol: Symbol{name='round', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(r)       | Type: PathExprSegNode           | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='power_mod', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(power_mod) | Type: PathExprSegNode           | Symbol: Symbol{name='power_mod', kind=FUNCTION, scopeLevel=0}
Node: power_mod            | Type: IdentifierNode            | Symbol: Symbol{name='power_mod', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(a)       | Type: PathExprSegNode           | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='d', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(d)       | Type: PathExprSegNode           | Symbol: Symbol{name='d', kind=PARAMETER, scopeLevel=1}
Node: d                    | Type: IdentifierNode            | Symbol: Symbol{name='d', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='power_mod', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(power_mod) | Type: PathExprSegNode           | Symbol: Symbol{name='power_mod', kind=FUNCTION, scopeLevel=0}
Node: power_mod            | Type: IdentifierNode            | Symbol: Symbol{name='power_mod', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='round', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(round)   | Type: PathExprSegNode           | Symbol: Symbol{name='round', kind=PARAMETER, scopeLevel=1}
Node: round                | Type: IdentifierNode            | Symbol: Symbol{name='round', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(x)       | Type: PathExprSegNode           | Symbol: Symbol{name='x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExprSeg(x)       | Type: PathExprSegNode           | Symbol: Symbol{name='x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: x                    | Type: IdentifierNode            | Symbol: Symbol{name='x', kind=LOCAL_VARIABLE, scopeLevel=2}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='witness_check_recursive', kind=FUNCTION, scopeLevel=0}
Node: PathExprSeg(witness_check_recursive) | Type: PathExprSegNode           | Symbol: Symbol{name='witness_check_recursive', kind=FUNCTION, scopeLevel=0}
Node: witness_check_recursive | Type: IdentifierNode            | Symbol: Symbol{name='witness_check_recursive', kind=FUNCTION, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(a)       | Type: PathExprSegNode           | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: a                    | Type: IdentifierNode            | Symbol: Symbol{name='a', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='d', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(d)       | Type: PathExprSegNode           | Symbol: Symbol{name='d', kind=PARAMETER, scopeLevel=1}
Node: d                    | Type: IdentifierNode            | Symbol: Symbol{name='d', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(r)       | Type: PathExprSegNode           | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: r                    | Type: IdentifierNode            | Symbol: Symbol{name='r', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='round', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(round)   | Type: PathExprSegNode           | Symbol: Symbol{name='round', kind=PARAMETER, scopeLevel=1}
Node: round                | Type: IdentifierNode            | Symbol: Symbol{name='round', kind=PARAMETER, scopeLevel=1}
Node: Function(miller_rabin_test) | Type: FunctionNode              | Symbol: Symbol{name='miller_rabin_test', kind=FUNCTION, scopeLevel=0}
Node: miller_rabin_test    | Type: IdentifierNode            | Symbol: Symbol{name='miller_rabin_test', kind=FUNCTION, scopeLevel=0}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: witness              | Type: IdentifierNode            | Symbol: Symbol{name='witness', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(i32)     | Type: PathExprSegNode           | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: i32                  | Type: IdentifierNode            | Symbol: Symbol{name='i32', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExprSeg(bool)    | Type: PathExprSegNode           | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: bool                 | Type: IdentifierNode            | Symbol: Symbol{name='bool', kind=BUILTIN_TYPE, scopeLevel=0}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: n                    | Type: IdentifierNode            | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExpr             | Type: PathExprNode              | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
Node: PathExprSeg(n)       | Type: PathExprSegNode           | Symbol: Symbol{name='n', kind=PARAMETER, scopeLevel=1}
